9zenic View,48.533333,-123.55
Abbey,50.733333,-108.75
Abbotsford,49.05,-122.3
Abbotsford,45.433333,-72.883333
Abbottsford,49.05,-122.3
Abee,54.233333,-113.016667
Aberdeen,52.316667,-106.283333
Abord â Plouffe,45.55,-73.733333
Abrahams Cove,48.516667,-58.9
Acadia Valley,51.15,-110.2
Acme,51.5,-113.5
Actinolite,44.55,-77.333333
Acton,43.633333,-80.033333
Acton Vale,45.633333,-72.566667
Adams Landing,58.383333,-115.116667
Adeytown,48.083333,-53.916667
Admiral,49.716667,-108.016667
Admirals Beach,47.016667,-53.616667
Advocate Harbour,45.333333,-64.783333
Agassiz,49.233333,-121.766667
Agincourt,43.783333,-79.266667
Aguanish,50.216667,-62.083333
Ahousat,49.283333,-126.05
Aillik,55.183333,-59.216667
Airdrie,51.266667,-114.016667
Aishihik,61.566667,-137.5
Aiyansh,55.25,-129.083333
Ajax,43.85,-79.016667
Aklavika,68.216667,-135
Aklavik,68.216667,-135
Akviligjuaq,68.533333,-89.816667
Alameda,49.266667,-102.283333
Albanel,48.866667,-72.416667
Albany,44.8,-65.05
Albany,52.25,-81.616667
Albany Station,44.8,-65.05
Alba Station,45.933333,-61.016667
Alberni,49.266667,-124.8
Albert Canyon,51.133333,-117.866667
Alberton,46.8,-64.066667
Albertville,53.416667,-105.533333
Albreda,52.633333,-119.15
Albright,55.266667,-119.5
Alcona,50.066667,-91.75
Aldergrove,49.06,-122.46
Alderson,50.283333,-111.35
Aldouane,46.616667,-65.05
Alert,82.483333,-62.25
Alert Bay,50.583333,-126.916667
Alexander,49.816667,-100.3
Alexander Bay,48.683333,-54.116667
Alexander Bay Station,48.683333,-54.116667
Alexandria,52.633333,-122.45
Alexandria,45.3,-74.633333
Alexis Creek,52.083333,-123.283333
Alexo,52.466667,-115.783333
Aleza Lake,54.116667,-122.066667
Alfred,45.55,-74.866667
Algonquin Park,45.55,-78.6
Alice Arm,55.45,-129.483333
Alida,49.383333,-101.866667
Alix,52.4,-113.183333
Alkali Lake,51.766667,-122.3
Allan,51.9,-106.066667
Allan Water,50.233333,-90.2
Allenford,44.533333,-81.166667
Alliance,52.433333,-111.783333
Alliford Bay,53.2,-131.983333
Allison Harbour,51.033333,-127.516667
Alliston,44.15,-79.866667
Alluvia,49.1,-122.833333
Alma,45.6,-64.95
Alma,48.55,-71.65
Almaville,46.516667,-72.75
Almonte,45.216667,-76.2
Alonsa,50.8,-98.983333
Alpen,54.426111,-112.923611
Alpen Siding,54.4275,-112.954722
Alsask,51.366667,-109.983333
Alta Lake,50.116667,-122.983333
Alticane,52.9,-102.483333
Altona,49.1,-97.566667
Alvena,52.516667,-106.016667
Amadjuak,64.033333,-72.65
Amaranth,50.6,-98.733333
Amazon,51.55,-105.466667
Amber Valley,54.733333,-112.930833
Amesbury,55.081944,-112.496667
Amesdale,50.016667,-92.933333
Amherst,45.833333,-64.2
Amherstburg,42.1,-83.1
Amos,48.566667,-78.116667
Amprior,45.433333,-76.366667
Amqui,48.466667,-67.433333
Amulet,49.616667,-104.75
Amyot,48.483333,-84.95
Anahim Lake,52.45,-125.3
Ancaster,43.225,-79.98
Ancienne Lorette,46.783333,-71.383333
Anderson River,69.733333,-128.95
Andrew,53.883333,-112.333333
Angliers,47.55,-79.233333
Angus,44.316667,-79.883333
Anjou,45.6,-73.533333
Annapolis,44.733333,-65.516667
Annapolis Royal,44.733333,-65.516667
Annaville,46.216667,-72.433333
Anse au Griffon,48.933333,-64.3
Anse au Loup,51.516667,-56.833333
Anse Comeau,49.216667,-68.15
Anson,44.3,-77.6
Ansonville,48.75,-80.683333
Anteuil,45.616667,-73.75
Antigonish,45.616667,-61.966667
Antigonishe,45.616667,-61.966667
Anyox,55.416667,-129.833333
Apex,63.716667,-68.45
Apex Hill,63.716667,-68.45
Apple River,45.466667,-64.783333
Apsley,44.75,-78.083333
Arborfield,53.116667,-103.65
Arborg,50.9,-97.216667
Archive,50.283333,-105.616667
Arcola,49.633333,-102.483333
Arctic Bay,73.033333,-85.166667
Arctic Red River,67.433333,-133.75
Ardbeg,45.633333,-80.083333
Ardmore,54.332222,-110.477222
Ardrossan,53.55,-113.133333
Arelee,52.25,-107.5
Arena,49.116667,-109.266667
Argenta,50.183333,-116.933333
Argentia,47.3,-54
Argyle,43.8,-65.85
Arichat,45.516667,-61.016667
Armadale,46.416667,-62.433333
Armagh,46.75,-70.583333
Armit,52.833333,-101.85
Armley,53.116667,-104.033333
Armstrong,50.45,-119.183333
Armstrong,50.3,-89.033333
Armstrong Station,50.3,-89.033333
Arnot,55.766667,-96.7
Arnprior,45.433333,-76.366667
Arntfield,48.2,-79.25
Aroland,50.233333,-86.95
Aroostook,46.8,-67.716667
Aroostook Junction,46.8,-67.716667
Arrandale,54.966667,-130
Arrowhead,50.7,-117.916667
Arrow River,50.133333,-100.766667
Arthabaska,46.033333,-71.916667
Arthur,43.833333,-80.533333
Arviat,61.116667,-94.05
Arvida,48.433333,-71.183333
Asbestos,45.783333,-71.933333
Ascot Corner,45.45,-71.766667
Ashcroft,50.716667,-121.266667
Ashern,51.183333,-98.333333
Ashmont,54.129722,-111.568056
Ashville,51.166667,-100.283333
Askow,49.933333,-111.7
Aspen Grove,49.883333,-120.633333
Asquith,52.116667,-107.216667
Assiniboia,49.616667,-105.983333
Aston Junction,46.166667,-72.233333
Athabasca,54.716667,-113.266667
Athabaska,54.716667,-113.266667
Athalmer,50.516667,-116.033333
Athelmer,50.516667,-116.033333
Atherley,44.6,-79.366667
Athol,45.683333,-64.216667
Atikameg,55.916667,-115.65
Atikokan,48.75,-91.616667
Atikup,52.766667,-90.783333
Atlee,50.85,-110.95
Atlin,59.583333,-133.716667
Atmore,54.819444,-112.548056
Atnarko,52.383333,-125.816667
Attachie,56.216667,-121.433333
Attawapiskat,52.916667,-82.433333
Aubigny,46.8,-71.166667
Auden,50.25,-87.9
Aurora,44,-79.466667
Austin,49.95,-98.933333
Auteuil,45.616667,-73.75
Authier,48.716667,-78.866667
Authier-Nord,48.833333,-78.866667
Avenir,55.037778,-112.279722
Aviron Bay,47.583333,-56.816667
Avola,51.783333,-119.316667
Avonlea,50.016667,-105.066667
Avonport,45.1,-64.25
Ayers Cliff,45.166667,-72.033333
Ayersville,45.633333,-74.366667
Aylesbury,50.933333,-105.7
Aylesford,45.033333,-64.833333
Aylmer,42.783333,-80.983333
Aylmer,45.4,-75.85
Aylsham,53.2,-103.8
Ayr,43.283333,-80.45
Ayton,44.05,-80.933333
Babine,55.316667,-126.616667
Babine Portage,54.516667,-125.183333
Bacotville,48.35,-70.883333
Baddeck,46.1,-60.75
Baden,43.4,-80.666667
Badger,49.183333,-95.966667
Badger,48.966667,-56.033333
Bad Harbour,50.833333,-57.033333
Bagotville,48.35,-70.883333
Baie-Comeau,49.216667,-68.15
Baie-de-la-Trinité,49.416667,-67.316667
Baie des Rochers,51.316667,-58.016667
Baie-des-Sables,48.716667,-67.866667
Baie-du-Poste,50.416667,-73.866667
Baie-d'Urfe,45.4,-73.916667
Baie-Sainte-Catherine,48.1,-69.733333
Baie-Sainte-Claire,49.883333,-64.483333
Baie-Saint-Paul,47.433333,-70.5
Baie Verte,49.916667,-56.183333
Bailey,45.633333,-66.583333
Bainbridge,49.316667,-124.85
Baine Harbour,47.366667,-54.916667
Baker Lake,64.316667,-96.016667
Bala,45.016667,-79.616667
Balcarres,50.8,-103.55
Baldonnel,56.216667,-120.683333
Baldur,49.383333,-99.233333
Balfour,49.633333,-116.966667
Baljennie,52.533333,-107.883333
Balzac,51.216667,-114.016667
Bamberton,48.583333,-123.516667
Bamfield,48.833333,-125.15
Bancroft,45.05,-77.85
Banff,51.166667,-115.566667
Bannockburn,44.65,-77.55
Barachois,48.616667,-64.266667
